title,nickname,read_time,img_src,id,herf,introduction,fav,share,comment
班主任告诉过我离开就没回头路,总会有个地方睡觉吃饭,56648,http://p2.music.126.net/rjp6VchKfkezCEjcjFfq5g==/109951167873914017.jpg?param=140y140,7635771823,https://music.163.com/playlist?id=7635771823,"介绍：
记住我叫姜云升，
唱到你会用我的歌给手机当铃声，
所以现在才要唱，
唱到我出现在你家的卧室海报上，
记住这家伙的脸 记住这家伙的疯，
献给喝过的酒和曾经刮骨的风，
当年选择hiphop选择了去中途继承，
...
",206,2,0
嘻哈说唱|搭乘嘻哈飞船 坠入浪漫的虚无主义,Just-7ccc,22241,http://p2.music.126.net/ocTX65qx4922bObp0E-MVw==/109951167991557907.jpg?param=140y140,7654967396,https://music.163.com/playlist?id=7654967396,"介绍：
把我偷走吧 浪漫的收藏家！！！
祝你，历遍山河，依然觉得人生值得。敬我，往后余生，水远山长安适如常！！！！！
感谢聆听！！！！！！！！
",160,3,0
「Hip-hop研究所」潮酷出街丨开启你的Swag,丨IIIIIIIIII丨,193万,http://p2.music.126.net/946c83afhfEMe2wJomUuXg==/109951165361809222.jpg?param=140y140,5269453086,https://music.163.com/playlist?id=5269453086,"介绍：
律动的节奏感，带动你的神经，在炫酷的氛围中找到精神共鸣。

嘻哈是一种力量，诞生自阴影中，象征着美好的未来。
反映的是一种真实，是一种无畏，是一种对待事情的感性思考。

每个人都可以很嘻哈，每个人...
",22054,503,62
国语说唱｜黎明的曙光 是漆黑暗夜中的希望,蛋壳Maxd,62595,http://p2.music.126.net/YUBMB22X0Rb-gpYEEcVL_Q==/109951167856123683.jpg?param=140y140,7627626385,https://music.163.com/playlist?id=7627626385,"介绍：
只有不畏攀登的采药者，才能登上高峰采得仙草。
只有不怕巨浪的弄潮儿，才能深入水底觅得骊珠。
",502,12,1
"GAI周延|梦想不要怕太大,开口就是王炸",网易云音乐,40万,http://p2.music.126.net/zrxbCLDEwPYD4QsA21tDyQ==/109951168047259525.jpg?param=140y140,7737156437,https://music.163.com/playlist?id=7737156437,"介绍：
GAI周延（D.M.G）种梦音乐签约艺人。 新华流说唱领军人物。《我是唱作人》冠军战队，《我们的歌》冠军组合，《中国新说唱2020》明星主理人《2021少年说唱企划》《草莓星球来的人》导师，《披荆斩棘的哥哥》...
",2673,66,107
"颜社版权回归 | 宝岛""嘻哈囝"",欢迎加入群聊",网易云音乐,40万,http://p2.music.126.net/x8T3dGvfsDYmf_IddHXLgw==/109951168020804113.jpg?param=140y140,7708843538,https://music.163.com/playlist?id=7708843538,"介绍：
顏社由迪拉胖2005年和同一群热爱嘻哈饶舌音乐的伙伴们一起成立，期间合作过的艺人有饶舌诗人蛋堡、嘻哈女皇葛仲珊、李英宏 a.k.a. Dj Didilong，现在旗下的艺人包括国蛋 a.k.a. Dr.Paper、夜猫组、Leo王、...
",5958,416,316
别急甜甜的恋爱马上就轮到你了,芳心收集人士,51万,http://p2.music.126.net/otX4OUyIqA1oXw8LkzZ0HQ==/109951168006050524.jpg?param=140y140,7582586641,https://music.163.com/playlist?id=7582586641,"介绍：
你相信吗
未来要和你共度一生的那个人
其实在与你相同的时间里 
也忍受着同样的孤独
那个人一定也怀着满心的期待
马不停蹄地赶来和你碰面
",4387,235,71
『忏悔录』emo走心励志旋律情歌中文说唱,芳心收集人士,57万,http://p2.music.126.net/rqxR0AiSXCnv7bzsQRQArg==/109951167725978368.jpg?param=140y140,7561470247,https://music.163.com/playlist?id=7561470247,"介绍：
歌单收录了各种风格的中文说唱 好歌又不是感冒灵 不一定要999+ 带你发掘那些国产rapper的宝藏歌曲

喜欢歌单的可以收藏关注不迷路 好听到可以单曲循环 歌单持续更新中～
",5700,143,23
旋律说唱｜好听不腻的hook ,张以晨_,145万,http://p2.music.126.net/976BQe1L6KrvqqrxIyae4Q==/109951167345487698.jpg?param=140y140,7397817902,https://music.163.com/playlist?id=7397817902,"介绍：
我想与你分享日常琐事
今天天气很好
天空也很蓝
也想悄悄告诉你
很多你不知道的秘密
喜欢听说唱的你
欢乐就会加倍
你一定不能错过这些好听不腻的旋律说唱 ！
",10697,123,24
rapper说情话 今晚也想跟你,决劣,1432万,http://p2.music.126.net/ihVnqZxqBt7wXaKYPRkvfw==/109951166124374544.jpg?param=140y140,814839177,https://music.163.com/playlist?id=814839177,"介绍：
评论区留喜欢文案
你有一份超甜rap情话歌单请查收
",18万,3281,1504
甜饼说唱｜超甜的情话只对你说,0000FF少抽烟,58万,http://p2.music.126.net/bslHT3ydTfokt-SgV5vjhQ==/109951167743916727.jpg?param=140y140,7571357089,https://music.163.com/playlist?id=7571357089,"介绍：
甜蜜说唱又来啦，治愈疲惫上班心灵的只有甜甜的歌曲和甜甜的恋爱。歌单精选了节奏感强但是曲风柔和的甜系说唱歌 曲，快来收藏这份甜蜜吧！
",3398,46,27
中文说唱｜节奏中感受潮流,AdeeL丨,5168,http://p2.music.126.net/rlplepWASWkX9gbqgNy_hg==/109951168059600394.jpg?param=140y140,7741615787,https://music.163.com/playlist?id=7741615787,"介绍：
网易云音乐越来越支持中文说唱了
此歌单收录各种经典说唱^_^
持续更新（欢迎投稿，我不怎么了解说唱，大家可以提供宝贵意见
",36,,0
【强悍RAP】节奏爆炸 暴力街区,奋力爬上山巅的山羊,257万,http://p2.music.126.net/PfTu_IA23GcBdONlepNNGQ==/18939087788936458.jpg?param=140y140,325632726,https://music.163.com/playlist?id=325632726,"介绍：
超震撼节奏感，肾上腺素飙升。

【 $ _ $】

适宜：跑步，击拳，重机，跳绳 ，训练，走路
",34854,408,101
『中文rap』诗人般的饶舌中文说唱艺术,肆夏无人,815万,http://p2.music.126.net/PNdr9jYoDOjIGnv_K8j56w==/109951165043501639.jpg?param=140y140,832595290,https://music.163.com/playlist?id=832595290,"介绍：
不定时更新添加歌曲 黑怕无止境
中国纯正hiphop 中文各类风格
站在金字塔顶端的法老和他的小娇妻马思唯
说唱诗人jonyj与他还在努力练好语文的好厚米tt
",89147,987,524
即刻律动 • 节奏当道 | R&B/Trap/Hip-Hop*,Bronkent,200万,http://p2.music.126.net/Cisgi0iMn2SLK0lAtgBSEA==/109951167883537905.jpg?param=140y140,6662878509,https://music.163.com/playlist?id=6662878509,"介绍：
这是一个杂烩向歌单 主要收录如下*
收录曲风包括: Rap,Trap,Hip-Hop,R&B,Future Bass,Dance-Pop*
每一首都是个人精选 只为解决您的歌荒*
可随机/循环播放 惊喜宝藏多多*
希望大家喜欢 持续更新ing*
封面: ...
",19629,457,60
流行rap×心动旋律的不完全记录,也半眠,63万,http://p2.music.126.net/FARJc8p_uYklgrQmQF6e6g==/109951167870289744.jpg?param=140y140,7538684824,https://music.163.com/playlist?id=7538684824,"介绍：
当蓝玫瑰坠入克莱因海

未曾谋面的也终将会相遇

当满树樱花全部退为绿叶

浪漫便藏起了花期
",6065,81,39
『浪漫rap』队长/刘思达/JonyJ/是告白的歌,肆玖音乐,133万,http://p2.music.126.net/ZxkXxJKygWQ4Op0i-sKWfQ==/109951166574877189.jpg?param=140y140,7042945337,https://music.163.com/playlist?id=7042945337,"介绍：
队长
黄礼格
夏之禹
Jony J
你的大表哥曲甲
沙一汀
楊佬叁
廖效浓
刘思鉴
...
...
日更
一人一首浪漫告白情歌
",11085,188,23
甜味Rap/轻轻吧唧你一口,_Jale,932万,http://p2.music.126.net/49xpFF0Sbrt91dj3iDm0eg==/109951163577520799.jpg?param=140y140,2339332957,https://music.163.com/playlist?id=2339332957,"介绍：
找个Rapper谈恋爱吧

他可以讲情话写情歌给你

还可以用freestyle哄你睡觉
",12万,1988,325
旋律说唱｜在猛烈的beat细嗅歌词的蔷薇,你的辰ya,28万,http://p2.music.126.net/cajWC83JuQskKahNAXM3pw==/109951167782798665.jpg?param=140y140,7584981253,https://music.163.com/playlist?id=7584981253,"介绍：
心有猛虎，细嗅蔷薇
每首说唱代表一个故事，每句歌词都心有所触
说唱歌手化身诗人，叙写着每个人包括自己的点点滴滴
生动的歌词加上炸裂的鼓点节奏，句句敲打着你我的心
",1486,10,2
Hip-hop | 又拽又酷的小姐姐歌单,WUlian_M,283万,http://p2.music.126.net/xugkbnkY_kGWP7eAzDHZew==/109951166292382947.jpg?param=140y140,6919282294,https://music.163.com/playlist?id=6919282294,"介绍：
主要以女歌手为准 持续更新 快去分享这个歌单给你小姐妹吧

封面：ins->lilmiquela
",39419,468,76
别急，甜甜的恋爱马上就轮到你了,名侦探-柯北,7094万,http://p2.music.126.net/vZ5ef3WzRneTTydXSzPauQ==/109951165994871935.jpg?param=140y140,2430524968,https://music.163.com/playlist?id=2430524968,"介绍：
别急
甜甜的恋爱马上就轮到你了

单身的女孩不要着急
也许上帝心里的想法是
我要给这个可爱的女孩留个特别的男孩

单身的男孩也不要着急
也许上帝心里的想法是
我要给这个帅氣的男孩找个优秀的姑娘

等到恋...
",75万,15674,6487
Trap｜R&B 在你的生命里加点黄色,奇怪少女7,151万,http://p2.music.126.net/s1VhxYnf-JzI4k5q5Q0Szg==/109951164252271525.jpg?param=140y140,2503601617,https://music.163.com/playlist?id=2503601617,"介绍：
欢迎来到Trap｜R&B世界
如果你现在听的这首不符合你的胃口，请切换到下一首，如果还不符合再请切换到下下首…相信我，绝对会有你爱的！
",24542,403,65
“甜味 旋律 Rap情歌”,张以晨_,437万,http://p2.music.126.net/5yILZubx2FWgZChffYZkmg==/109951166307066930.jpg?param=140y140,2356473597,https://music.163.com/playlist?id=2356473597,"介绍：
在什么都善变的世间，我想和你看一看永远
喜欢的友友们可以看其它的歌单哦~
歌单支持投稿
",47879,675,159
【K-POP】南韩黑泡•风格各异 高精良作品集,LiLaCphoria伊柾,59万,http://p2.music.126.net/ll4OF6fLXnoNEuc1E18imw==/109951166860366268.jpg?param=140y140,2955348838,https://music.163.com/playlist?id=2955348838,"介绍：
封面：郑号锡 (BTS)

南韩Rapper，
他们有一种玩世不恭的神气，
这也是我喜欢上Rap的原因。
就像摇滚被赐予一种精神力量，
看似抽象的东西，
一旦融入灵魂，
一发不可收拾。

“那些被叫做Rapper的人是因为...
",8491,352,245
【Rap】说唱嘛 跟着晃就完事了,猴里贵好想吃豆腐花,612万,http://p2.music.126.net/ANOon_QPYcNinJPNbpm_4w==/109951163318218823.jpg?param=140y140,2186405575,https://music.163.com/playlist?id=2186405575,"介绍：
听之前 请一定要先看一眼歌单评论区噢！
如果没看就听了 我怕你错过这个歌单！
第一首歌是我自己的 希望大家可以听听看 要是不喜欢的话就直接切歌 第二首开始才是歌单的正确打开方式！
(我努力持续更新哈）...
",78799,1282,288
『K-HipHop』韩语说唱精选集,Rootskool,106万,http://p2.music.126.net/Z3WAhofD_n1uJXLc93sY6w==/109951164028692655.jpg?param=140y140,2329761514,https://music.163.com/playlist?id=2329761514,"介绍：
药品名称：K-HipHop

译名/昵称：韩语说唱

药品类型：Old School Rap /Hardcore Rap/Jazz Rap /R&B等

药品作用:专治各种不服！

药品简介：韩语说唱个人精选集，网易云没有版权未加入，纯属个人花费大量...
",14362,136,178
英式说唱的进化UK drill,韭菜君总是如此慵懒,15万,http://p2.music.126.net/etjrvtCdVuQtsPNQ58JOlg==/109951168063190820.jpg?param=140y140,2369249132,https://music.163.com/playlist?id=2369249132,"介绍：
在2000年中后期，一种英式匪帮说唱Road Rap的出现来对抗Grime的日渐商业化并且代表着街头最新的声音。12年UK Drill作为他和芝加哥drill的分支开始从Brixton发展，可能与芝加哥Drill最大的不同是它没有auto...
",2428,64,49
旋律说唱Rap | 那些你很冒险的梦,四川贫困人口,946万,http://p2.music.126.net/yYF0OcC4sPNccCBgkTSi6g==/109951165002468210.jpg?param=140y140,5026569198,https://music.163.com/playlist?id=5026569198,"介绍：
如果你给我的，和你给别人的是一样的，那我就不要了。
",29585,113,16
甜系说唱 | 想要跟你爱到一百岁,张以晨_,112万,http://p2.music.126.net/cCiCEUwGpIxUqr4LKPfgkg==/109951167874235015.jpg?param=140y140,6976193072,https://music.163.com/playlist?id=6976193072,"介绍：
遇见你那天的日落比这更温柔一些。
",10640,147,41
浪漫节拍 ☪ 是晚风是心动是无可代替,月亮藏不住的小情绪,17万,http://p2.music.126.net/dmAhnYcnPlJPyjCNAvxVpw==/109951167830555948.jpg?param=140y140,7598946182,https://music.163.com/playlist?id=7598946182,"介绍：
我以前
觉得我是自由的

起码这一生
没有谁能降住我

遇见你以后
自由和野心我都不要了

我只要和你在一起

画师：LIN
",742,5,0
Rap | 代入感太强已经开始拽了,绉州,490万,http://p2.music.126.net/XbrIYEbu9E_-QVyayPZTLg==/109951166170356356.jpg?param=140y140,6623298175,https://music.163.com/playlist?id=6623298175,"介绍：
在不同时间段反复爱上说唱
",64266,874,291
毒性Drill精选UK Drill+US Drill更新⬆,YeahAyy,2543,http://p1.music.126.net/Mgn0LbcNl5CqJ5rEpvtrSQ==/109951168050869461.jpg?param=140y140,7740415503,https://music.163.com/playlist?id=7740415503,"介绍：
Drill的本意是报复或者斗争，在说唱中是一种音乐形式，Drill音乐是Trap音乐的分支，发源于芝加哥南部，以Trap编曲为基本框架，歌词内容多以社会底层的帮派生活、暴力等元素为主。Drill音乐的特点是808鼓机...
",64,,0
华语说唱 | 执着于押韵的技术尖端,Dream_d7,16万,http://p1.music.126.net/hD5iRT-Zsz-dvhZummy8vQ==/109951167920180363.jpg?param=140y140,7625921990,https://music.163.com/playlist?id=7625921990,"介绍：
#我想与你分享日常琐事
今 天 天 气 很 好
天 空 也 很 蓝
想 悄 悄 告 诉 你 很 多 你 不 知 道 的 秘 密
喜 欢 听 说 唱 的 你 欢 乐 就 会 加 倍
你 一 定 不 能 错 过 这 些 好 听 不 腻 的 华 语 说 ...
",873,9,1
『伤感说唱』越听越入迷,我诚等缘,204万,http://p1.music.126.net/tXziLvX-3r4Ja_0haYQVRg==/109951167994230318.jpg?param=140y140,3067038066,https://music.163.com/playlist?id=3067038066,"介绍：
不必太纠结于当下，也不必太忧虑未来，
人生没有无用的经历当你经历过一些事情后，
眼前的风景已经和从前不一样了。
",19590,257,71
Hip-Hop/90s/Golden Age/Old School,ZTM41,74万,http://p1.music.126.net/ElodFpCyC1ZccjGE3ZpN7Q==/19140298416647191.jpg?param=140y140,429253487,https://music.163.com/playlist?id=429253487,"介绍：
按地域划分包括美国各个地区、外来，按时间划分基本覆盖了老学校、黄金年代、90年代经典以及新世纪经典，real shit.
",14391,491,140
拽宝们必备 | Trap Rap 加持 一听不可收拾,复古的心,156万,http://p2.music.126.net/gw6fc3cb_fuOaQLjETEjaQ==/109951167147529804.jpg?param=140y140,480953725,https://music.163.com/playlist?id=480953725,"介绍：
-服务于大众的歌单-

Keep着这不羁的态度

随时给自己能量加持

什么困难都不是事。

——————
自我状态释放。
",24135,491,127
时差青年｜每个懂事的人都是宝藏,陈笑一Joylyn,559万,http://p2.music.126.net/Q8S0TdI-NlytsNzXhzanPQ==/109951165517615081.jpg?param=140y140,5363641064,https://music.163.com/playlist?id=5363641064,"介绍：
时常提醒自己
无论如何都要保持清醒
周围有太多的声音动摇你
有无数双手都在撕扯你
包括你的困惑
害怕和犹豫不决也会阻碍你
请你一定要坚定
要全力以赴
要清楚的知道自己想要什么
以及对所谓的「世俗标准」...
",42093,911,175
rapper说情话/超甜情歌想和你坠入爱河,是你的顾柒柒_cc,326万,http://p2.music.126.net/dOiVgMuSAgdEKGFBmbV15A==/109951167735122341.jpg?param=140y140,2834027258,https://music.163.com/playlist?id=2834027258,"介绍：
前方高能预警！rapper 要开始说情话啦，这份高甜的rap合集请注意查收。
希望你的梦里有甜甜的大白兔奶糖，有不会融化的草莓冰淇淋，有温度刚好的安慕希，有刚新鲜出炉的大肉包，有新鲜的苹果汁，有黏黏的香...
",38958,504,187
jazz hiphop | 感受爵士说唱的魅力,Wdtfts,22万,http://p2.music.126.net/hyl9U9pODM6w7LTe7fUISA==/109951165672993437.jpg?param=140y140,2941475858,https://music.163.com/playlist?id=2941475858,"介绍：
Jazz爵士说唱是一种将早期黑人音乐和当今主流音乐风格融合起来的一种尝试，在如今后者逐渐占据绝对地位的同时，它使得前者重新焕发出光芒。
",4104,48,20
拽姐辣妹必备性感做个酷girl♥,kkkbaby_,773万,http://p2.music.126.net/VHyV42JESrhY5IidNkaqxQ==/109951167851108999.jpg?param=140y140,537367797,https://music.163.com/playlist?id=537367797,"介绍：
辣妹必备哦 超好听超拽！
辣辣辣 下个辣妹就是你啦❦
都是一首一首选的 爆炸
",10万,1273,403
精致Rap说唱 |以后找个人陪你来唱,夕日向暖,876万,http://p2.music.126.net/6PZ2KwExcs-ls-kztoTqmA==/109951166446908802.jpg?param=140y140,2258837745,https://music.163.com/playlist?id=2258837745,"介绍：
没了音乐我又回到了现实……
",95298,1081,210
前方高甜！rapper们的情歌收录！[5.20特辑],JossJoy,470万,http://p2.music.126.net/xK3BRhYOOf9lzwHiirk6Yg==/109951166072118140.jpg?param=140y140,5474914023,https://music.163.com/playlist?id=5474914023,"介绍：
今天你“恋爱”了吗
快来让音乐带你走进爱的港湾吧
",48094,2348,90
那些甜甜的Rap情歌♡,如果车窗会讲话,1914万,http://p2.music.126.net/GDpjaIc7pmjYDzOyfPQjbQ==/109951163541670039.jpg?param=140y140,2091927797,https://music.163.com/playlist?id=2091927797,"介绍：
什么时候开始喜欢Rap情歌的 我也忘了

只知道当我反应过来发现我特别喜欢时

我已经离不开了

我离不开这种风格

就像我离不开你♡

——————————————————————————

说是甜甜的ra...
",23万,3017,375
说唱｜意难平终将和解,情感文字君,90万,http://p2.music.126.net/wXoh-niiNV9_UFeClLnJ_Q==/109951167218270768.jpg?param=140y140,2988656185,https://music.163.com/playlist?id=2988656185,"介绍：
我以前经常用拉黑来结束一段感情 但拉黑过后的每一刻心都会像被蚂蚁啃食一样难熬 翻遍各种社交软件偷看对方动态 忍住每隔一段时间就想要加回好友的念头 就这样反反复复 永远也不可能忘掉的 所以现在反倒觉...
",12367,195,64
lil jet 豆芽 姜云升 马思唯 法老,云朵西柚,482万,http://p2.music.126.net/DK6_kb9dCNZR2nnnkCd2uQ==/109951165420999889.jpg?param=140y140,2313914132,https://music.163.com/playlist?id=2313914132,"介绍：
你应该知道我这么帅只会出现在动漫
",50562,525,114
纵享丝滑好旋律,lOriagxN,40827,http://p2.music.126.net/eCN6qQxFutdM2GvapU56aA==/109951167535977192.jpg?param=140y140,7448280652,https://music.163.com/playlist?id=7448280652,"介绍：
旋律说唱 顾名思义就是更加注重旋律在歌曲中的部分 

因其唱上的悦耳动听 说上的动人心魄 这两者的结合可谓1+1 ＞2
",315,14,3
那些好听到爆炸的说唱啊,我没有熬夜,633万,http://p2.music.126.net/8q2k3Ctca1U-yfdiOKJrxA==/109951166672158312.jpg?param=140y140,2477863140,https://music.163.com/playlist?id=2477863140,"介绍：
我们都在奔赴各自不同的人生中忙碌.
",76204,704,475
rapper说情话┃旋律说唱┃甜甜的宝藏女孩必备,JossJoy,467万,http://p2.music.126.net/gJPhvZyfNjD25nnZ_YnDrw==/109951166301132991.jpg?param=140y140,5334020451,https://music.163.com/playlist?id=5334020451,"介绍：
·优质精选|蜜糖般的旋律
·作为宝藏女孩你一定会爱上的歌单
·甜甜的旋律似春风拂面，轻轻撩动你的耳膜
·各大走心Rapper们倾情献唱
让旋律在你心中尽情绽放
·可以投稿你喜爱的作品
歌单大大会认真评选哦
",53329,12368,124
【迷幻/氛围】Psychedelic melody,820Emc2,744万,http://p2.music.126.net/hD9AlEA36BUzFMSOqf4lUQ==/109951164236954260.jpg?param=140y140,2897562585,https://music.163.com/playlist?id=2897562585,"介绍：
All right
我想营造一种沉醉自己所热爱的兴趣，坚持自己定下的目标，享受自由的氛围，在迷幻的旋律中释放自己的情绪，在歌单中还留有一些彩蛋歌曲待大家发掘，最后祝大家都能实现自己的梦想，有一段美满的...
",12万,1690,379
旋律说唱，听你诉说这个世界,原点FM,438万,http://p2.music.126.net/fHNURe3hDFtkR_Zp70lxog==/109951164196001198.jpg?param=140y140,2873336061,https://music.163.com/playlist?id=2873336061,"介绍：
旋律性的说唱歌曲应该能引起很多共鸣，好听又有态度的音乐，歌词虽然有很多露骨，却以柔情的方式述说自己的态度和经历，甚至是最真实的自己，揭露的是最现实的世界，这也是Hip-Hop最有魅力的地方吧
",62257,809,311
让你停不下来的带感HipHop,JediMindTricks,680万,http://p2.music.126.net/OdK409MVljo9FuuYpETaOA==/7836219372363789.jpg?param=140y140,102445100,https://music.163.com/playlist?id=102445100,"介绍：
个人平时所听的各种曲风hiphop，新老学校，地上地下都有。
本歌单适合不是非常了解嘻哈音乐但又对嘻哈说唱感兴趣的朋友收听，别把这个歌单当做专业榜单盘点类歌单
我的电台上传了部分云音乐没有的资源
歌单...
",87597,1371,668
Trap Rap R&B 杂…」,Krixx_,912万,http://p2.music.126.net/1aSAgYEHYDx52G2amLoU8A==/109951164981406836.jpg?param=140y140,2875321368,https://music.163.com/playlist?id=2875321368,"介绍：
杂（仅个人喜好）
",15万,2122,534
提醒！甜度+100%，甜妹请注意查收~,浩瑄Acme,304万,http://p2.music.126.net/a5EpX9VUWxYZbxm1Iqq58g==/109951166711010606.jpg?param=140y140,7113336957,https://music.163.com/playlist?id=7113336957,,33065,508,98
新浪漫主义|让女生一秒心动的说唱甜诗 持更,曌懿卓轩,87万,http://p2.music.126.net/HoUc4IkVQWxpqBWPoj2k-w==/109951165957010495.jpg?param=140y140,6641728258,https://music.163.com/playlist?id=6641728258,"介绍：
“你的身边没有骑士，你就永远是我的公主”

“你的手里没有玫瑰，你就永远是我的王子”

“你不认为我们两个志趣相投的人各自游荡是一种浪费吗？

“独自一人才算游荡，两个人总会有个目标，比如，爱你。...
",7728,180,98
油 管 `好听到爆的英文,神不登登-,1531万,http://p2.music.126.net/K_EfGB5K0BX_MSB1F4I-fA==/109951163681121776.jpg?param=140y140,731340834,https://music.163.com/playlist?id=731340834,"介绍：
一 只 脏 猴 子
",19万,2394,662
